state_name,pop2014
alabama,4817678
alaska,728300
arizona,6561516
arkansas,2947036
california,38066920
colorado,5197580
connecticut,3592053
delaware,917060
district of columbia,633736
florida,19361792
georgia,9907756
hawaii,1392704
idaho,1599464
illinois,12868747
indiana,6542411
iowa,3078116
kansas,2882946
kentucky,4383272
louisiana,4601049
maine,1328535
maryland,5887776
massachusetts,6657291
michigan,9889024
minnesota,5383661
mississippi,2984345
missouri,6028076
montana,1006370
nebraska,1855617
nevada,2761584
new hampshire,1321069
new jersey,8874374
new mexico,2080085
new york,19594330
north carolina,9750405
north dakota,704925
ohio,11560380
oklahoma,3818851
oregon,3900343
pennsylvania,12758729
rhode island,1053252
south carolina,4727273
south dakota,834708
tennessee,6451365
texas,26092033
utah,2858111
vermont,626358
virginia,8185131
washington,6899123
west virginia,1853881
wisconsin,5724692
wyoming,575251
