GEOID,state_name,population
01,alabama,4841164
02,alaska,736855
04,arizona,6728577
05,arkansas,2968472
06,california,38654206
08,colorado,5359295
09,connecticut,3588570
10,delaware,934695
11,district of columbia,659009
12,florida,19934451
13,georgia,10099320
15,hawaii,1413673
16,idaho,1635483
17,illinois,12851684
18,indiana,6589578
19,iowa,3106589
20,kansas,2898292
21,kentucky,4411989
22,louisiana,4645670
23,maine,1329923
24,maryland,5959902
25,massachusetts,6742143
26,michigan,9909600
27,minnesota,5450868
28,mississippi,2989192
29,missouri,6059651
30,montana,1023391
31,nebraska,1881259
32,nevada,2839172
33,new hampshire,1327503
34,new jersey,8915456
35,new mexico,2082669
36,new york,19697457
37,north carolina,9940828
38,north dakota,736162
39,ohio,11586941
40,oklahoma,3875589
41,oregon,3982267
42,pennsylvania,12783977
44,rhode island,1054491
45,south carolina,4834605
46,south dakota,851058
47,tennessee,6548009
48,texas,26956435
49,utah,2948427
50,vermont,626249
51,virginia,8310301
53,washington,7073146
54,west virginia,1846092
55,wisconsin,5754798
56,wyoming,583029
72,puerto rico,3529385
