state,electoal_votes,biden,trump,win
Alabama,9,0,9,Republican
Alaska,3,0,3,Republican
Arizona,11,11,0,Democrat
Arkansas,6,0,6,Republican
California,55,55,0,Democrat
Colorado,9,9,0,Democrat
Connecticut,7,7,0,Democrat
Delaware,3,3,0,Democrat
District of Columbia,3,3,0,Democrat
Florida,29,0,29,Republican
Georgia,16,16,0,Democrat
Hawaii,4,4,0,Democrat
Idaho,4,0,4,Republican
Illinois,20,20,0,Democrat
Indiana,11,0,11,Republican
Iowa,6,0,6,Republican
Kansas,6,0,6,Republican
Kentucky,8,0,8,Republican
Louisiana,8,0,8,Republican
Maine,4,3,1,Democrat
Maryland,10,10,0,Democrat
Massachusetts,11,11,0,Democrat
Michigan,16,16,0,Democrat
Minnesota,10,10,0,Democrat
Mississippi,6,0,6,Republican
Missouri,10,0,10,Republican
Montana,3,0,3,Republican
Nebraska,5,1,4,Republican
Nevada,6,6,0,Democrat
New Hampshire,4,4,0,Democrat
New Jersey,14,14,0,Democrat
New Mexico,5,5,0,Democrat
New York,29,29,0,Democrat
North Carolina,15,0,15,Republican
North Dakota,3,0,3,Republican
Ohio,18,0,18,Republican
Oklahoma,7,0,7,Republican
Oregon,7,7,0,Democrat
Pennsylvania,20,20,0,Democrat
Rhode Island,4,4,0,Democrat
South Carolina,9,0,9,Republican
South Dakota,3,0,3,Republican
Tennessee,11,0,11,Republican
Texas,38,0,38,Republican
Utah,6,0,6,Republican
Vermont,3,3,0,Democrat
Virginia,13,13,0,Democrat
Washington,12,12,0,Democrat
West Virginia,5,0,5,Republican
Wisconsin,10,10,0,Democrat
Wyoming,3,0,3,Republican
